# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Sep 29 00:39:57 AEST 2023 [seed=1695911996768]
# -beagle -overwrite out.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	gtr.rates.rateAC	gtr.rates.rateAG	gtr.rates.rateAT	gtr.rates.rateCG	gtr.rates.rateCT	gtr.rates.rateGT	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent	BA.2.86.rate	tmrca(BA.2.86)	age(BA.2.86)	coefficientOfVariation	covariance
0	-119036.22259886464	-384.04360505686304	-118652.17899380777	3.437953924630005	2020.27704607537	28.00781382392133	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-118652.17899380777	0.0	-353.1123993818485	1.0	2023.199205660649	2023.199205660649	0.0	NaN
1000	-78477.13533737313	-329.22666956485335	-78147.90866780827	3.015206342526309	2020.6997936574737	25.73818524620842	0.742666008191081	-0.17971186653473903	0.9907002114994738	0.9873036969406275	1.0	1.0044383720714711	1.0076011528255524	1.0099565666628751	0.24049516710332564	0.2499999999	0.2500000001	0.25950483289667436	0.2915498119577009	0.1378488474417921	0.13562870570835173	-78147.90866780827	0.0	-319.01151900100075	0.06581849190747757	2023.199205660649	2023.199205660649	0.01865047771366685	-0.0018049968139063404
2000	-61385.17776085015	-318.97224532958006	-61066.20551552057	2.857954574936298	2020.8570454250637	24.943592627999937	0.7345574467228833	-0.17971186653473903	0.9879924638979448	0.9865311430767347	0.9949804129782057	0.9982742734777729	1.013009536252994	1.019212170316348	0.24663648354078124	0.2364777908068611	0.24193168344624244	0.2749540422061152	0.11658442678889877	0.014018199752631305	0.013836525957062404	-61066.20551552057	0.0	-313.0984044875176	0.008305936284938783	2023.199205660649	2023.199205660649	0.01454219367891154	-0.001804996813906358
3000	-57873.33853246032	-490.2633921574722	-57383.07514030285	2.6337055815744996	2021.0812944184254	28.607952238224502	0.7209857391672417	-0.21051136392215253	0.9700167046240508	1.0066593759996518	0.9865247680041178	1.0001726304309682	1.013009536252994	1.0236169846882175	0.250411958889697	0.22673344999823378	0.24193168344624244	0.2809229076658268	0.09501202188679916	0.002735759720282578	0.002745675901552387	-57383.07514030285	0.0	-485.9064045926319	0.0030882799770174797	2023.191784430971	2023.191784430971	0.004595403615277771	-0.001804996813906364
4000	-57257.599941509194	-481.45184127551084	-56776.14810023368	2.511153174377444	2021.2038468256226	28.47966840235013	0.7963217307024861	-0.5424753854498581	0.950778574403126	0.9948741980308639	0.9892567017322748	1.0113872034464255	1.02807038226686	1.0256329401204503	0.26088172391844366	0.2021691378178225	0.23661775641324506	0.30033138185048874	0.0582776848365868	0.001829112508018278	0.0018456731677729175	-56776.14810023368	0.0	-477.47724308790544	0.0024020194293023467	2023.191784430971	2023.191784430971	0.011167587074490464	-0.001804996813906331
5000	-56940.10208083784	-551.0857440717249	-56389.016336766115	2.5144023180417645	2021.2005976819582	30.695436762392745	1.022797942632615	-0.4978373765264483	0.9584479313409955	0.9883334598021762	1.0027141176270729	1.0106929885510236	1.045815153295704	0.9939963493830279	0.27510513174548085	0.1909261445108313	0.23073179756641027	0.3032369261772776	0.04688047490554767	0.0016955403389233212	0.0017218356344104928	-56389.016336766115	0.0	-547.123633130299	0.0026507647447137224	2023.1882945310492	2023.1882945310492	0.02008051451254357	-0.0018049968139063283
6000	-56723.725173432715	-570.7706881794563	-56152.954485253256	2.2653854505323143	2021.4496145494677	30.37185275464147	0.9545332658237189	-0.5475838308617818	0.9729775981376309	0.9835679029387803	0.9955701963801071	1.0109498629010045	1.0470809694945769	0.9898534701479007	0.27083486186815336	0.1878401650834245	0.22408175869081126	0.3172432143576109	0.04955354199734577	0.0017015600034370575	0.001721910083511746	-56152.954485253256	0.0	-566.842141669138	0.002433020616208376	2023.1882945310492	2023.1882945310492	0.015324804607756865	-0.0018049968139063316
7000	-56608.437604117986	-575.8207904540848	-56032.6168136639	2.119440789942965	2021.595559210057	29.853872293666335	0.9669478650575486	-0.5808679748936889	0.9657821977284219	0.9884430330742523	1.0010626726325396	1.0109498629010045	1.0483251437362502	0.9854370899275319	0.27900301008665357	0.17623206517439383	0.22408175869081126	0.32068316604814134	0.03165843383416445	0.0017710785245554886	0.0017963494189252517	-56032.6168136639	0.0	-571.8623738424038	0.0026329799791879526	2023.1882945310492	2023.1882945310492	0.01734761250002454	-0.0018049968139063493
8000	-56450.46458813224	-589.6031750689707	-55860.86141306327	2.066907999127274	2021.6480920008726	29.933197694646598	1.0872847508989523	-0.4032686167400594	0.9769163491287892	1.0012462941855609	0.974950972481199	1.0067482995705357	1.060967821148072	0.9791702634858434	0.27900301008665357	0.1949233103714273	0.20280884337839838	0.32326483616352075	0.03857586454992623	0.0017390326738865197	0.001742494152284902	-55860.86141306327	0.0	-585.8394688612559	0.0018562781818494759	2023.1882945310492	2023.1882945310492	0.0024045839680202023	-0.0018049968139063483
9000	-56394.60424269136	-590.6802746438734	-55803.92396804749	2.0625630367747023	2021.6524369632252	29.77541484423265	1.214910569443965	-0.3397976900764772	0.9775764593025663	0.997890990017786	0.9663492899196711	1.0253745059345534	1.0685427707188038	0.9642659841066197	0.28324445461661246	0.1951823775989446	0.1928820825218277	0.3286910852626152	0.04349701137930386	0.0017969323704358018	0.0018039776122094628	-55803.92396804749	0.0	-586.8472707351319	0.002034307489363235	2023.1882945310492	2023.1882945310492	0.0047110661878291245	-0.001804996813906353
10000	-56312.365510542935	-600.5834564711078	-55711.782054071824	2.062735851585705	2021.6522641484141	29.8401037829967	1.2790402710192343	-0.2652703704368995	0.9715799361870114	0.997890990017786	0.9565646694451613	1.0253745059345534	1.0685427707188038	0.9800471276966843	0.2877498990065643	0.18955205844679804	0.19400695728402245	0.3286910852626152	0.03173247808012319	0.0017320627768831441	0.0017631270194216277	-55711.782054071824	0.0	-596.6247132297116	0.002841243258328177	2023.1882945310492	2023.1882945310492	0.02282304709579274	-0.0018049968139063255
11000	-56234.222948433446	-602.6699445516489	-55631.553003881796	2.039664551025395	2021.6753354489745	29.424295107316393	1.3966698021801294	-0.2652703704368995	0.96214730943829	1.0022269915486928	0.9616612946629759	1.016697965834008	1.0801102878671933	0.97715615064884	0.29380970890426245	0.18247311746427486	0.18782579048424441	0.3358913831472182	0.04357674804206257	0.0017124886538243673	0.0017446583920987112	-55631.553003881796	0.0	-598.691491408187	0.0028451360114564194	2023.1882945310492	2023.1882945310492	0.023571674938208886	-0.0018049968139063264
12000	-56168.53055706263	-622.4462123367044	-55546.084344725925	1.994562374865035	2021.720437625135	29.658523971155038	1.433286815597609	-0.2652703704368995	0.9528460296352418	1.0000957110878943	0.9575402049865859	1.0067026525126466	1.0927341605098246	0.990081241267807	0.2964834601543583	0.18247311746427486	0.18782579048424441	0.3332176318971224	0.028695472113229266	0.0016962940261384175	0.001723026314616366	-55546.084344725925	0.0	-618.5548563508189	0.0025739916875238316	2023.255896358671	2023.255896358671	0.01844364418647355	-0.001804996813906367
13000	-56077.85488142204	-631.5533727833866	-55446.30150863865	1.975511171268721	2021.7394888287313	29.669252452549685	1.404960257644082	-0.2957705231523111	0.9524481854812799	1.0097268797243573	0.9490618394325535	1.0067026525126466	1.1022369415911217	0.9798235012580411	0.2964834601543583	0.17918142749251714	0.18782579048424441	0.3365093218688801	0.03695958459453588	0.0017471296456489501	0.0017563191830293563	-55446.30150863865	0.0	-627.7481426467268	0.0020435333311674005	2023.255896358671	2023.255896358671	0.006049973391094852	-0.0018049968139063543
14000	-56040.07344849907	-635.2897727035754	-55404.783675795494	1.9832976106563143	2021.7317023893436	29.941851688775166	1.5305616229188312	-0.16930993888588564	0.9457009526440652	1.0294393772252195	0.9490618394325535	0.9883792460998954	1.1022369415911217	0.985181643007145	0.2964834601543583	0.1806671517209745	0.191085849393096	0.33176353873157116	0.03584558717133182	0.001625453290087274	0.001637589320717511	-55404.783675795494	0.0	-631.5410306636983	0.002021815010680069	2023.2556276098717	2023.2556276098717	0.008695032796416589	-0.0018049968139063454
15000	-55931.307510223545	-639.8257430974458	-55291.4817671261	1.9589827990736761	2021.7560172009262	30.196725628767954	1.5521269246411955	-0.20612786179076203	0.9417207674902921	1.0294773047384158	0.9434127249696576	0.9875885828529649	1.107008912552746	0.990791707395924	0.2964834601543583	0.18474071772257622	0.18856063180707663	0.3302151903159888	0.045933976642292464	0.001575843538485336	0.001596271322880269	-55291.4817671261	0.0	-636.0049150419916	0.0022858254639467677	2023.2076788455981	2023.2076788455981	0.01606105446975733	-0.001804996813906373
16000	-55809.10830699056	-648.5010084264901	-55160.60729856407	1.9190489266566242	2021.7959510733433	30.532288049457115	1.4981430108913205	-0.2085237843431036	0.9474592033719026	1.0294773047384158	0.9280648159714084	0.99400770631927	1.1225339711549487	0.9784569984440548	0.2966527144490683	0.18335037603637078	0.189781719198572	0.3302151903159888	0.049041303352140915	0.00157403896011922	0.0015992713386012293	-55160.60729856407	0.0	-644.6362374873868	0.0024607532668732036	2023.2076788455981	2023.2076788455981	0.020079172542328917	-0.001804996813906351
