GSE,GSM,SRR,Rename,Strand,Prep Method,Platform Code,Platform Name,Source,Cell Characteristics,Replicate Name,Strategy,Publication,Extra Notes
GSE162462,GSM4952483,SRR13177328,baso_S1R1,SINGLE,total,,,,,,,34508131,
GSE162462,GSM4952484,SRR13177329,baso_S1R2,SINGLE,total,,,,,,,34508131,
