g	1	0	-29992
g	1	1	-1956
h	1	1	5604
g	2	0	-1997
g	2	1	3027
h	2	1	-2129
g	2	2	1663
h	2	2	-200
g	3	0	1281
g	3	1	-2180
h	3	1	-336
g	3	2	1251
h	3	2	271
g	3	3	833
h	3	3	-252
g	4	0	938
g	4	1	782
h	4	1	212
g	4	2	398
h	4	2	-257
g	4	3	-419
h	4	3	53
g	4	4	199
h	4	4	-297
g	5	0	-218
g	5	1	357
h	5	1	46
g	5	2	261
h	5	2	150
g	5	3	-74
h	5	3	-151
g	5	4	-162
h	5	4	-78
g	5	5	-48
h	5	5	92
g	6	0	48
g	6	1	66
h	6	1	-15
g	6	2	42
h	6	2	93
g	6	3	-192
h	6	3	71
g	6	4	4
h	6	4	-43
g	6	5	14
h	6	5	-2
g	6	6	-108
h	6	6	17
g	7	0	72
g	7	1	-59
h	7	1	-82
g	7	2	2
h	7	2	-27
g	7	3	21
h	7	3	-5
g	7	4	-12
h	7	4	16
g	7	5	1
h	7	5	18
g	7	6	11
h	7	6	-23
g	7	7	-2
h	7	7	-10
g	8	0	18
g	8	1	6
h	8	1	7
g	8	2	0
h	8	2	-18
g	8	3	-11
h	8	3	4
g	8	4	-7
h	8	4	-22
g	8	5	4
h	8	5	9
g	8	6	3
h	8	6	16
g	8	7	6
h	8	7	-13
g	8	8	-1
h	8	8	-15
g	9	0	5
g	9	1	10
h	9	1	-21
g	9	2	1
h	9	2	16
g	9	3	-12
h	9	3	9
g	9	4	9
h	9	4	-5
g	9	5	-3
h	9	5	-6
g	9	6	-1
h	9	6	9
g	9	7	7
h	9	7	10
g	9	8	2
h	9	8	-6
g	9	9	-5
h	9	9	2
g	10	0	-4
g	10	1	-4
h	10	1	1
g	10	2	2
h	10	2	0
g	10	3	-5
h	10	3	3
g	10	4	-2
h	10	4	6
g	10	5	5
h	10	5	-4
g	10	6	3
h	10	6	0
g	10	7	1
h	10	7	-1
g	10	8	2
h	10	8	4
g	10	9	3
h	10	9	0
g	10	10	0
h	10	10	-6
g	11	0	0
g	11	1	0
h	11	1	0
g	11	2	0
h	11	2	0
g	11	3	0
h	11	3	0
g	11	4	0
h	11	4	0
g	11	5	0
h	11	5	0
g	11	6	0
h	11	6	0
g	11	7	0
h	11	7	0
g	11	8	0
h	11	8	0
g	11	9	0
h	11	9	0
g	11	10	0
h	11	10	0
g	11	11	0
h	11	11	0
g	12	0	0
g	12	1	0
h	12	1	0
g	12	2	0
h	12	2	0
g	12	3	0
h	12	3	0
g	12	4	0
h	12	4	0
g	12	5	0
h	12	5	0
g	12	6	0
h	12	6	0
g	12	7	0
h	12	7	0
g	12	8	0
h	12	8	0
g	12	9	0
h	12	9	0
g	12	10	0
h	12	10	0
g	12	11	0
h	12	11	0
g	12	12	0
h	12	12	0
g	13	0	0
g	13	1	0
h	13	1	0
g	13	2	0
h	13	2	0
g	13	3	0
h	13	3	0
g	13	4	0
h	13	4	0
g	13	5	0
h	13	5	0
g	13	6	0
h	13	6	0
g	13	7	0
h	13	7	0
g	13	8	0
h	13	8	0
g	13	9	0
h	13	9	0
g	13	10	0
h	13	10	0
g	13	11	0
h	13	11	0
g	13	12	0
h	13	12	0
g	13	13	0
h	13	13	0
