g	1	0	-30220
g	1	1	-2068
h	1	1	5737
g	2	0	-1781
g	2	1	3000
h	2	1	-2047
g	2	2	1611
h	2	2	25
g	3	0	1287
g	3	1	-2091
h	3	1	-366
g	3	2	1278
h	3	2	251
g	3	3	838
h	3	3	-196
g	4	0	952
g	4	1	800
h	4	1	167
g	4	2	461
h	4	2	-266
g	4	3	-395
h	4	3	26
g	4	4	234
h	4	4	-279
g	5	0	-216
g	5	1	359
h	5	1	26
g	5	2	262
h	5	2	139
g	5	3	-42
h	5	3	-139
g	5	4	-160
h	5	4	-91
g	5	5	-56
h	5	5	83
g	6	0	43
g	6	1	64
h	6	1	-12
g	6	2	15
h	6	2	100
g	6	3	-212
h	6	3	72
g	6	4	2
h	6	4	-37
g	6	5	3
h	6	5	-6
g	6	6	-112
h	6	6	1
g	7	0	72
g	7	1	-57
h	7	1	-70
g	7	2	1
h	7	2	-27
g	7	3	14
h	7	3	-4
g	7	4	-22
h	7	4	8
g	7	5	-2
h	7	5	23
g	7	6	13
h	7	6	-23
g	7	7	-2
h	7	7	-11
g	8	0	14
g	8	1	6
h	8	1	7
g	8	2	-2
h	8	2	-15
g	8	3	-13
h	8	3	6
g	8	4	-3
h	8	4	-17
g	8	5	5
h	8	5	6
g	8	6	0
h	8	6	21
g	8	7	11
h	8	7	-6
g	8	8	3
h	8	8	-16
g	9	0	8
g	9	1	10
h	9	1	-21
g	9	2	2
h	9	2	16
g	9	3	-12
h	9	3	6
g	9	4	10
h	9	4	-4
g	9	5	-1
h	9	5	-5
g	9	6	0
h	9	6	10
g	9	7	3
h	9	7	11
g	9	8	1
h	9	8	-2
g	9	9	-1
h	9	9	1
g	10	0	-3
g	10	1	-3
h	10	1	1
g	10	2	2
h	10	2	1
g	10	3	-5
h	10	3	3
g	10	4	-1
h	10	4	4
g	10	5	6
h	10	5	-4
g	10	6	4
h	10	6	0
g	10	7	1
h	10	7	-1
g	10	8	0
h	10	8	3
g	10	9	3
h	10	9	1
g	10	10	-1
h	10	10	-4
g	11	0	0
g	11	1	0
h	11	1	0
g	11	2	0
h	11	2	0
g	11	3	0
h	11	3	0
g	11	4	0
h	11	4	0
g	11	5	0
h	11	5	0
g	11	6	0
h	11	6	0
g	11	7	0
h	11	7	0
g	11	8	0
h	11	8	0
g	11	9	0
h	11	9	0
g	11	10	0
h	11	10	0
g	11	11	0
h	11	11	0
g	12	0	0
g	12	1	0
h	12	1	0
g	12	2	0
h	12	2	0
g	12	3	0
h	12	3	0
g	12	4	0
h	12	4	0
g	12	5	0
h	12	5	0
g	12	6	0
h	12	6	0
g	12	7	0
h	12	7	0
g	12	8	0
h	12	8	0
g	12	9	0
h	12	9	0
g	12	10	0
h	12	10	0
g	12	11	0
h	12	11	0
g	12	12	0
h	12	12	0
g	13	0	0
g	13	1	0
h	13	1	0
g	13	2	0
h	13	2	0
g	13	3	0
h	13	3	0
g	13	4	0
h	13	4	0
g	13	5	0
h	13	5	0
g	13	6	0
h	13	6	0
g	13	7	0
h	13	7	0
g	13	8	0
h	13	8	0
g	13	9	0
h	13	9	0
g	13	10	0
h	13	10	0
g	13	11	0
h	13	11	0
g	13	12	0
h	13	12	0
g	13	13	0
h	13	13	0
