g	1	0	-29441.46
g	1	1	-1501.77
h	1	1	4795.99
g	2	0	-2445.88
g	2	1	3012.20
h	2	1	-2845.41
g	2	2	1676.35
h	2	2	-642.17
g	3	0	1350.33
g	3	1	-2352.26
h	3	1	-115.29
g	3	2	1225.85
h	3	2	245.04
g	3	3	581.69
h	3	3	-538.70
g	4	0	907.42
g	4	1	813.68
h	4	1	283.54
g	4	2	120.49
h	4	2	-188.43
g	4	3	-334.85
h	4	3	180.95
g	4	4	70.38
h	4	4	-329.23
g	5	0	-232.91
g	5	1	360.14
h	5	1	46.98
g	5	2	192.35
h	5	2	196.98
g	5	3	-140.94
h	5	3	-119.14
g	5	4	-157.40
h	5	4	15.98
g	5	5	4.30
h	5	5	100.12
g	6	0	69.55
g	6	1	67.57
h	6	1	-20.61
g	6	2	72.79
h	6	2	33.30
g	6	3	-129.85
h	6	3	58.74
g	6	4	-28.93
h	6	4	-66.64
g	6	5	13.14
h	6	5	7.35
g	6	6	-70.85
h	6	6	62.41
g	7	0	81.29
g	7	1	-75.99
h	7	1	-54.27
g	7	2	-6.79
h	7	2	-19.53
g	7	3	51.82
h	7	3	5.59
g	7	4	15.07
h	7	4	24.45
g	7	5	9.32
h	7	5	3.27
g	7	6	-2.88
h	7	6	-27.50
g	7	7	6.61
h	7	7	-2.32
g	8	0	23.98
g	8	1	8.89
h	8	1	10.04
g	8	2	-16.78
h	8	2	-18.26
g	8	3	-3.16
h	8	3	13.18
g	8	4	-20.56
h	8	4	-14.60
g	8	5	13.33
h	8	5	16.16
g	8	6	11.76
h	8	6	5.69
g	8	7	-15.98
h	8	7	-9.10
g	8	8	-2.02
h	8	8	2.26
g	9	0	5.33
g	9	1	8.83
h	9	1	-21.77
g	9	2	3.02
h	9	2	10.76
g	9	3	-3.22
h	9	3	11.74
g	9	4	0.67
h	9	4	-6.74
g	9	5	-13.20
h	9	5	-6.88
g	9	6	-0.10
h	9	6	7.79
g	9	7	8.68
h	9	7	1.04
g	9	8	-9.06
h	9	8	-3.89
g	9	9	-10.54
h	9	9	8.44
g	10	0	-2.01
g	10	1	-6.26
h	10	1	3.28
g	10	2	0.17
h	10	2	-0.40
g	10	3	0.55
h	10	3	4.55
g	10	4	-0.55
h	10	4	4.40
g	10	5	1.70
h	10	5	-7.92
g	10	6	-0.67
h	10	6	-0.61
g	10	7	2.13
h	10	7	-4.16
g	10	8	2.33
h	10	8	-2.85
g	10	9	-1.80
h	10	9	-1.12
g	10	10	-3.59
h	10	10	-8.72
g	11	0	3.00
g	11	1	-1.40
h	11	1	0.00
g	11	2	-2.30
h	11	2	2.11
g	11	3	2.08
h	11	3	-0.60
g	11	4	-0.79
h	11	4	-1.05
g	11	5	0.58
h	11	5	0.76
g	11	6	-0.70
h	11	6	-0.20
g	11	7	0.14
h	11	7	-2.12
g	11	8	1.70
h	11	8	-1.44
g	11	9	-0.22
h	11	9	-2.57
g	11	10	0.44
h	11	10	-2.01
g	11	11	3.49
h	11	11	-2.34
g	12	0	-2.09
g	12	1	-0.16
h	12	1	-1.08
g	12	2	0.46
h	12	2	0.37
g	12	3	1.23
h	12	3	1.75
g	12	4	-0.89
h	12	4	-2.19
g	12	5	0.85
h	12	5	0.27
g	12	6	0.10
h	12	6	0.72
g	12	7	0.54
h	12	7	-0.09
g	12	8	-0.37
h	12	8	0.29
g	12	9	-0.43
h	12	9	0.23
g	12	10	0.22
h	12	10	-0.89
g	12	11	-0.94
h	12	11	-0.16
g	12	12	-0.03
h	12	12	0.72
g	13	0	-0.02
g	13	1	-0.92
h	13	1	-0.88
g	13	2	0.42
h	13	2	0.49
g	13	3	0.63
h	13	3	1.56
g	13	4	-0.42
h	13	4	-0.50
g	13	5	0.96
h	13	5	-1.24
g	13	6	-0.19
h	13	6	-0.10
g	13	7	0.81
h	13	7	0.42
g	13	8	-0.13
h	13	8	-0.04
g	13	9	0.38
h	13	9	0.48
g	13	10	0.08
h	13	10	0.48
g	13	11	0.46
h	13	11	-0.30
g	13	12	-0.35
h	13	12	-0.43
g	13	13	-0.36
h	13	13	-0.71
