g	1	0	-30334
g	1	1	-2119
h	1	1	5776
g	2	0	-1662
g	2	1	2997
h	2	1	-2016
g	2	2	1594
h	2	2	114
g	3	0	1297
g	3	1	-2038
h	3	1	-404
g	3	2	1292
h	3	2	240
g	3	3	856
h	3	3	-165
g	4	0	957
g	4	1	804
h	4	1	148
g	4	2	479
h	4	2	-269
g	4	3	-390
h	4	3	13
g	4	4	252
h	4	4	-269
g	5	0	-219
g	5	1	358
h	5	1	19
g	5	2	254
h	5	2	128
g	5	3	-31
h	5	3	-126
g	5	4	-157
h	5	4	-97
g	5	5	-62
h	5	5	81
g	6	0	45
g	6	1	61
h	6	1	-11
g	6	2	8
h	6	2	100
g	6	3	-228
h	6	3	68
g	6	4	4
h	6	4	-32
g	6	5	1
h	6	5	-8
g	6	6	-111
h	6	6	-7
g	7	0	75
g	7	1	-57
h	7	1	-61
g	7	2	4
h	7	2	-27
g	7	3	13
h	7	3	-2
g	7	4	-26
h	7	4	6
g	7	5	-6
h	7	5	26
g	7	6	13
h	7	6	-23
g	7	7	1
h	7	7	-12
g	8	0	13
g	8	1	5
h	8	1	7
g	8	2	-4
h	8	2	-12
g	8	3	-14
h	8	3	9
g	8	4	0
h	8	4	-16
g	8	5	8
h	8	5	4
g	8	6	-1
h	8	6	24
g	8	7	11
h	8	7	-3
g	8	8	4
h	8	8	-17
g	9	0	8
g	9	1	10
h	9	1	-22
g	9	2	2
h	9	2	15
g	9	3	-13
h	9	3	7
g	9	4	10
h	9	4	-4
g	9	5	-1
h	9	5	-5
g	9	6	-1
h	9	6	10
g	9	7	5
h	9	7	10
g	9	8	1
h	9	8	-4
g	9	9	-2
h	9	9	1
g	10	0	-2
g	10	1	-3
h	10	1	2
g	10	2	2
h	10	2	1
g	10	3	-5
h	10	3	2
g	10	4	-2
h	10	4	6
g	10	5	4
h	10	5	-4
g	10	6	4
h	10	6	0
g	10	7	0
h	10	7	-2
g	10	8	2
h	10	8	3
g	10	9	2
h	10	9	0
g	10	10	0
h	10	10	-6
g	11	0	0
g	11	1	0
h	11	1	0
g	11	2	0
h	11	2	0
g	11	3	0
h	11	3	0
g	11	4	0
h	11	4	0
g	11	5	0
h	11	5	0
g	11	6	0
h	11	6	0
g	11	7	0
h	11	7	0
g	11	8	0
h	11	8	0
g	11	9	0
h	11	9	0
g	11	10	0
h	11	10	0
g	11	11	0
h	11	11	0
g	12	0	0
g	12	1	0
h	12	1	0
g	12	2	0
h	12	2	0
g	12	3	0
h	12	3	0
g	12	4	0
h	12	4	0
g	12	5	0
h	12	5	0
g	12	6	0
h	12	6	0
g	12	7	0
h	12	7	0
g	12	8	0
h	12	8	0
g	12	9	0
h	12	9	0
g	12	10	0
h	12	10	0
g	12	11	0
h	12	11	0
g	12	12	0
h	12	12	0
g	13	0	0
g	13	1	0
h	13	1	0
g	13	2	0
h	13	2	0
g	13	3	0
h	13	3	0
g	13	4	0
h	13	4	0
g	13	5	0
h	13	5	0
g	13	6	0
h	13	6	0
g	13	7	0
h	13	7	0
g	13	8	0
h	13	8	0
g	13	9	0
h	13	9	0
g	13	10	0
h	13	10	0
g	13	11	0
h	13	11	0
g	13	12	0
h	13	12	0
g	13	13	0
h	13	13	0
