g	1	0	-29496.57
g	1	1	-1586.42
h	1	1	4944.26
g	2	0	-2396.06
g	2	1	3026.34
h	2	1	-2708.54
g	2	2	1668.17
h	2	2	-575.73
g	3	0	1339.85
g	3	1	-2326.54
h	3	1	-160.40
g	3	2	1232.10
h	3	2	251.75
g	3	3	633.73
h	3	3	-537.03
g	4	0	912.66
g	4	1	808.97
h	4	1	286.48
g	4	2	166.58
h	4	2	-211.03
g	4	3	-356.83
h	4	3	164.46
g	4	4	89.40
h	4	4	-309.72
g	5	0	-230.87
g	5	1	357.29
h	5	1	44.58
g	5	2	200.26
h	5	2	189.01
g	5	3	-141.05
h	5	3	-118.06
g	5	4	-163.17
h	5	4	-0.01
g	5	5	-8.03
h	5	5	101.04
g	6	0	72.78
g	6	1	68.69
h	6	1	-20.90
g	6	2	75.92
h	6	2	44.18
g	6	3	-141.40
h	6	3	61.54
g	6	4	-22.83
h	6	4	-66.26
g	6	5	13.10
h	6	5	3.02
g	6	6	-78.09
h	6	6	55.40
g	7	0	80.44
g	7	1	-75.00
h	7	1	-57.80
g	7	2	-4.55
h	7	2	-21.20
g	7	3	45.24
h	7	3	6.54
g	7	4	14.00
h	7	4	24.96
g	7	5	10.46
h	7	5	7.03
g	7	6	1.64
h	7	6	-27.61
g	7	7	4.92
h	7	7	-3.28
g	8	0	24.41
g	8	1	8.21
h	8	1	10.84
g	8	2	-14.50
h	8	2	-20.03
g	8	3	-5.59
h	8	3	11.83
g	8	4	-19.34
h	8	4	-17.41
g	8	5	11.61
h	8	5	16.71
g	8	6	10.85
h	8	6	6.96
g	8	7	-14.05
h	8	7	-10.74
g	8	8	-3.54
h	8	8	1.64
g	9	0	5.50
g	9	1	9.45
h	9	1	-20.54
g	9	2	3.45
h	9	2	11.51
g	9	3	-5.27
h	9	3	12.75
g	9	4	3.13
h	9	4	-7.14
g	9	5	-12.38
h	9	5	-7.42
g	9	6	-0.76
h	9	6	7.97
g	9	7	8.43
h	9	7	2.14
g	9	8	-8.42
h	9	8	-6.08
g	9	9	-10.08
h	9	9	7.01
g	10	0	-1.94
g	10	1	-6.24
h	10	1	2.73
g	10	2	0.89
h	10	2	-0.10
g	10	3	-1.07
h	10	3	4.71
g	10	4	-0.16
h	10	4	4.44
g	10	5	2.45
h	10	5	-7.22
g	10	6	-0.33
h	10	6	-0.96
g	10	7	2.13
h	10	7	-3.95
g	10	8	3.09
h	10	8	-1.99
g	10	9	-1.03
h	10	9	-1.97
g	10	10	-2.80
h	10	10	-8.31
g	11	0	3.05
g	11	1	-1.48
h	11	1	0.13
g	11	2	-2.03
h	11	2	1.67
g	11	3	1.65
h	11	3	-0.66
g	11	4	-0.51
h	11	4	-1.76
g	11	5	0.54
h	11	5	0.85
g	11	6	-0.79
h	11	6	-0.39
g	11	7	0.37
h	11	7	-2.51
g	11	8	1.79
h	11	8	-1.27
g	11	9	0.12
h	11	9	-2.11
g	11	10	0.75
h	11	10	-1.94
g	11	11	3.75
h	11	11	-1.86
g	12	0	-2.12
g	12	1	-0.21
h	12	1	-0.87
g	12	2	0.30
h	12	2	0.27
g	12	3	1.04
h	12	3	2.13
g	12	4	-0.63
h	12	4	-2.49
g	12	5	0.95
h	12	5	0.49
g	12	6	-0.11
h	12	6	0.59
g	12	7	0.52
h	12	7	0.00
g	12	8	-0.39
h	12	8	0.13
g	12	9	-0.37
h	12	9	0.27
g	12	10	0.21
h	12	10	-0.86
g	12	11	-0.77
h	12	11	-0.23
g	12	12	0.04
h	12	12	0.87
g	13	0	-0.09
g	13	1	-0.89
h	13	1	-0.87
g	13	2	0.31
h	13	2	0.30
g	13	3	0.42
h	13	3	1.66
g	13	4	-0.45
h	13	4	-0.59
g	13	5	1.08
h	13	5	-1.14
g	13	6	-0.31
h	13	6	-0.07
g	13	7	0.78
h	13	7	0.54
g	13	8	-0.18
h	13	8	0.10
g	13	9	0.38
h	13	9	0.49
g	13	10	0.02
h	13	10	0.44
g	13	11	0.42
h	13	11	-0.25
g	13	12	-0.26
h	13	12	-0.53
g	13	13	-0.26
h	13	13	-0.79
