g	1	0	-30805
g	1	1	-2316
h	1	1	5808
g	2	0	-951
g	2	1	2980
h	2	1	-1424
g	2	2	1517
h	2	2	644
g	3	0	1172
g	3	1	-1692
h	3	1	-480
g	3	2	1205
h	3	2	133
g	3	3	907
h	3	3	166
g	4	0	896
g	4	1	727
h	4	1	205
g	4	2	584
h	4	2	-195
g	4	3	-422
h	4	3	-109
g	4	4	234
h	4	4	-90
g	5	0	-237
g	5	1	327
h	5	1	-72
g	5	2	218
h	5	2	60
g	5	3	-32
h	5	3	-53
g	5	4	-131
h	5	4	-118
g	5	5	-74
h	5	5	58
g	6	0	60
g	6	1	53
h	6	1	4
g	6	2	-9
h	6	2	102
g	6	3	-242
h	6	3	19
g	6	4	-32
h	6	4	-16
g	6	5	32
h	6	5	8
g	6	6	-104
h	6	6	-46
g	7	0	74
g	7	1	-54
h	7	1	-51
g	7	2	4
h	7	2	-15
g	7	3	25
h	7	3	-14
g	7	4	-34
h	7	4	6
g	7	5	-12
h	7	5	29
g	7	6	18
h	7	6	-18
g	7	7	6
h	7	7	-20
g	8	0	11
g	8	1	7
h	8	1	8
g	8	2	-3
h	8	2	-15
g	8	3	-9
h	8	3	5
g	8	4	2
h	8	4	-14
g	8	5	5
h	8	5	5
g	8	6	-6
h	8	6	18
g	8	7	8
h	8	7	-5
g	8	8	8
h	8	8	-19
g	9	0	8
g	9	1	10
h	9	1	-20
g	9	2	1
h	9	2	14
g	9	3	-12
h	9	3	5
g	9	4	12
h	9	4	-3
g	9	5	1
h	9	5	-2
g	9	6	-2
h	9	6	9
g	9	7	3
h	9	7	10
g	9	8	0
h	9	8	-2
g	9	9	-2
h	9	9	2
g	10	0	-3
g	10	1	-4
h	10	1	2
g	10	2	2
h	10	2	1
g	10	3	-5
h	10	3	2
g	10	4	-2
h	10	4	6
g	10	5	6
h	10	5	-4
g	10	6	4
h	10	6	0
g	10	7	0
h	10	7	-2
g	10	8	1
h	10	8	4
g	10	9	3
h	10	9	0
g	10	10	0
h	10	10	-6
g	11	0	0
g	11	1	0
h	11	1	0
g	11	2	0
h	11	2	0
g	11	3	0
h	11	3	0
g	11	4	0
h	11	4	0
g	11	5	0
h	11	5	0
g	11	6	0
h	11	6	0
g	11	7	0
h	11	7	0
g	11	8	0
h	11	8	0
g	11	9	0
h	11	9	0
g	11	10	0
h	11	10	0
g	11	11	0
h	11	11	0
g	12	0	0
g	12	1	0
h	12	1	0
g	12	2	0
h	12	2	0
g	12	3	0
h	12	3	0
g	12	4	0
h	12	4	0
g	12	5	0
h	12	5	0
g	12	6	0
h	12	6	0
g	12	7	0
h	12	7	0
g	12	8	0
h	12	8	0
g	12	9	0
h	12	9	0
g	12	10	0
h	12	10	0
g	12	11	0
h	12	11	0
g	12	12	0
h	12	12	0
g	13	0	0
g	13	1	0
h	13	1	0
g	13	2	0
h	13	2	0
g	13	3	0
h	13	3	0
g	13	4	0
h	13	4	0
g	13	5	0
h	13	5	0
g	13	6	0
h	13	6	0
g	13	7	0
h	13	7	0
g	13	8	0
h	13	8	0
g	13	9	0
h	13	9	0
g	13	10	0
h	13	10	0
g	13	11	0
h	13	11	0
g	13	12	0
h	13	12	0
g	13	13	0
h	13	13	0
