g	1	0	-29692
g	1	1	-1784
h	1	1	5306
g	2	0	-2200
g	2	1	3070
h	2	1	-2366
g	2	2	1681
h	2	2	-413
g	3	0	1335
g	3	1	-2267
h	3	1	-262
g	3	2	1249
h	3	2	302
g	3	3	759
h	3	3	-427
g	4	0	940
g	4	1	780
h	4	1	262
g	4	2	290
h	4	2	-236
g	4	3	-418
h	4	3	97
g	4	4	122
h	4	4	-306
g	5	0	-214
g	5	1	352
h	5	1	46
g	5	2	235
h	5	2	165
g	5	3	-118
h	5	3	-143
g	5	4	-166
h	5	4	-55
g	5	5	-17
h	5	5	107
g	6	0	68
g	6	1	67
h	6	1	-17
g	6	2	68
h	6	2	72
g	6	3	-170
h	6	3	67
g	6	4	-1
h	6	4	-58
g	6	5	19
h	6	5	1
g	6	6	-93
h	6	6	36
g	7	0	77
g	7	1	-72
h	7	1	-69
g	7	2	1
h	7	2	-25
g	7	3	28
h	7	3	4
g	7	4	5
h	7	4	24
g	7	5	4
h	7	5	17
g	7	6	8
h	7	6	-24
g	7	7	-2
h	7	7	-6
g	8	0	25
g	8	1	6
h	8	1	11
g	8	2	-6
h	8	2	-21
g	8	3	-9
h	8	3	8
g	8	4	-14
h	8	4	-23
g	8	5	9
h	8	5	15
g	8	6	6
h	8	6	11
g	8	7	-5
h	8	7	-16
g	8	8	-7
h	8	8	-4
g	9	0	4
g	9	1	9
h	9	1	-20
g	9	2	3
h	9	2	15
g	9	3	-10
h	9	3	12
g	9	4	8
h	9	4	-6
g	9	5	-8
h	9	5	-8
g	9	6	-1
h	9	6	8
g	9	7	10
h	9	7	5
g	9	8	-2
h	9	8	-8
g	9	9	-8
h	9	9	3
g	10	0	-3
g	10	1	-6
h	10	1	1
g	10	2	2
h	10	2	0
g	10	3	-4
h	10	3	4
g	10	4	-1
h	10	4	5
g	10	5	4
h	10	5	-5
g	10	6	2
h	10	6	-1
g	10	7	2
h	10	7	-2
g	10	8	5
h	10	8	1
g	10	9	1
h	10	9	-2
g	10	10	0
h	10	10	-7
g	11	0	0
g	11	1	0
h	11	1	0
g	11	2	0
h	11	2	0
g	11	3	0
h	11	3	0
g	11	4	0
h	11	4	0
g	11	5	0
h	11	5	0
g	11	6	0
h	11	6	0
g	11	7	0
h	11	7	0
g	11	8	0
h	11	8	0
g	11	9	0
h	11	9	0
g	11	10	0
h	11	10	0
g	11	11	0
h	11	11	0
g	12	0	0
g	12	1	0
h	12	1	0
g	12	2	0
h	12	2	0
g	12	3	0
h	12	3	0
g	12	4	0
h	12	4	0
g	12	5	0
h	12	5	0
g	12	6	0
h	12	6	0
g	12	7	0
h	12	7	0
g	12	8	0
h	12	8	0
g	12	9	0
h	12	9	0
g	12	10	0
h	12	10	0
g	12	11	0
h	12	11	0
g	12	12	0
h	12	12	0
g	13	0	0
g	13	1	0
h	13	1	0
g	13	2	0
h	13	2	0
g	13	3	0
h	13	3	0
g	13	4	0
h	13	4	0
g	13	5	0
h	13	5	0
g	13	6	0
h	13	6	0
g	13	7	0
h	13	7	0
g	13	8	0
h	13	8	0
g	13	9	0
h	13	9	0
g	13	10	0
h	13	10	0
g	13	11	0
h	13	11	0
g	13	12	0
h	13	12	0
g	13	13	0
h	13	13	0
