show_id,show_name,season,season_id,couple_name,couple_id,appearance_id,person_id_x,person_id_y
90DF,90 Day Fiancé,1,90DF_1,Alan & Kirlyam,alan_kirlyam,alan_kirlyam_90DF_1,alan_cox,kirlyam
90DF,90 Day Fiancé,1,90DF_1,Louis & Aya,louis_aya,louis_aya_90DF_1,louis_gattone,aya
90DF,90 Day Fiancé,1,90DF_1,Mike & Aziza,mike_aziza,mike_aziza_90DF_1,mike_eloshway,aziza_mazhidova
90DF,90 Day Fiancé,1,90DF_1,Russ & Paola,russ_paola,russ_paola_90DF_1,russ_mayfield,paola_blaze
90DF,90 Day Fiancé,2,90DF_2,Brett & Daya,brett_daya,brett_daya_90DF_2,brett_otto,daya_de_arce
90DF,90 Day Fiancé,2,90DF_2,Chelsea & Yamir,chelsea_yamir,chelsea_yamir_90DF_2,chelsea_macek,yamir_castillo
90DF,90 Day Fiancé,2,90DF_2,Danielle & Mohamed,danielle_mohamed,danielle_mohamed_90DF_2,danielle_mullins,mohamed_jbali
90DF,90 Day Fiancé,2,90DF_2,Danny & Amy,danny_amy,danny_amy_90DF_2,danny_frishmuth,amy
90DF,90 Day Fiancé,2,90DF_2,Jason & Cássia,jason_cassia,jason_cassia_90DF_2,jason_hitch,cassia_tavares
90DF,90 Day Fiancé,2,90DF_2,Justin & Evelyn,justin_evelyn,justin_evelyn_90DF_2,justin_halas,evelyn
90DF,90 Day Fiancé,3,90DF_3,Fernando & Carolina,fernando_carolina,fernando_carolina_90DF_3,fernando_verdini,carolina
90DF,90 Day Fiancé,3,90DF_3,Josh & Aleksandra,josh_aleksandra,josh_aleksandra_90DF_3,josh_strobel,aleksandra_iarovikova
90DF,90 Day Fiancé,3,90DF_3,Kyle & Noon,kyle_noon,kyle_noon_90DF_3,kyle_huckabee,bajaree_noon_boonma
90DF,90 Day Fiancé,3,90DF_3,Loren & Alexei,loren_alexei,loren_alexei_90DF_3,loren_goldstone,alexei_brovarnik
90DF,90 Day Fiancé,3,90DF_3,Mark & Nikki,mark_nikki,mark_nikki_90DF_3,mark_shoemaker,nikki_rose
90DF,90 Day Fiancé,3,90DF_3,Melanie & Devar,melanie_devar,melanie_devar_90DF_3,melanie_bowers,devar_walters
90DF,90 Day Fiancé,4,90DF_4,Chantel & Pedro,chantel_pedro,chantel_pedro_90DF_4,ceair_chantel_everett,pedro_jimeno
90DF,90 Day Fiancé,4,90DF_4,Jorge & Anfisa,jorge_anfisa,jorge_anfisa_90DF_4,jorge_nava,anfisa_arkipchenko
